我,私、自分,代名詞,wǒ
你,あなた,代名詞,nǐ
您,あなた（尊敬語）,代名詞,nín
他,彼、その人,代名詞,tā
她,彼女,代名詞,tā
它,そ、あ、それ、あれ,代名詞,tā
我们,私たち,代名詞,wǒmen
咱们,私たち,代名詞,zánmen
自己,自己、自分の,代名詞,zìjǐ
大家,みんな,代名詞,dàjā
这,これ,代名詞,zhè
这儿,ここ,代名詞,zhèr
那,あれ、それ,代名詞,nà
那儿,そこ,代名詞,nàr
日,日、一日,名詞,rì
号,日（10日とか１日とかの日）,名詞,hào
月,月（時間の単位）,名詞,yuè
年,年,名詞,nián
前天,一昨日,名詞,qiántiān
昨天,昨日,名詞,zuótiān
今天,今日,名詞,jīntiān
明天,明日,名詞,míngtiān
后天,明後日,名詞,hòutiān
星期,曜日、週,名詞,xīngqī
星期天,日曜日,名詞,xīngqitiān
礼拜天,日曜日,名詞,lǐbàitiān
周末,週末,名詞,zhōumò
去年,去年,名詞,qùnián
今年,今年,名詞,jīnnián
明年,来年,名詞,míngnián
早上,朝,名詞,zǎoshang
上午,午前,名詞,shàngwǔ
中午,昼、12時ちょうど,名詞,zhōngwǔ
下午,午後,名詞,xiàwǔ
晚上,夜,名詞,wǎnshang
零,0、ゼロ,数詞,líng
一,1、一,数詞,yī
二,2、二,数詞,èr
三,3、三,数詞,sān
四,4、四,数詞,sì
五,5、五,数詞,wǔ
六,6、六,数詞,liù
七,7、七,数詞,qī
八,8、八,数詞,bā
九,9、九,数詞,jiǔ
十,10、十,数詞,shí
百,100、百,数詞,bǎi
千,1000、千,数詞,qiān
万,10000、万,数詞,wàn
亿,億,数詞,yì
两,2、二（ふた）,数詞,liǎng
俩,ふたつ、ふたり,数詞,liǎ
本,冊,量詞,běn
次,回,量詞,cì
场,章・次（映画や試合などの数える単位）,量詞,chǎng
顿,回（食事などの数える単位）,量詞,dùn
个,個、名,量詞,gè
件,件（仕事や事件などを数える単位）,量詞,jiàn
辆,台（車を数える単位）,量詞,liàng
篇,編（一定の形式を持っている文書を数える単位）,量詞,piān
双,対・ペア（集まっている人たちや物を数える単位）,量詞,shuāng
岁,歳・年（年を数える単位）,量詞,suì
位,名（人を数える単位）,量詞,wèi
页,ページ,量詞,yè
张,枚（平らなものを数える単位）,量詞,zhāng
只,匹（動物や器具などを数える単位）,量詞,zhī
种,種類,量詞,zhǒng
座,（山や建物・建築物などを数える単位）,量詞,zuò
爸爸,父,名詞,bàba
妈妈,母,名詞,māma
哥哥,兄,名詞,gēge
姐姐,姉,名詞,jiějie
弟弟,弟,名詞,dìdi
妹妹,妹,名詞,mèimei
爷爷,祖父,名詞,yéye
奶奶,祖母,名詞,nǎinai
叔叔,叔父（父の弟）,名詞,shūshu
姑姑,叔母,名詞,gūgu
舅舅,叔父（父の弟）,名詞,jiùjiu
丈夫,夫,名詞,zhàngfu
妻子,妻,名詞,qīzi
儿子,息子,名詞,érzi
女儿,娘,名詞,nǚ'er
孙子,孫（男の子）,名詞,sūnzi
代表,代表,名詞,dàibiǎo
公主,姫,名詞,gōngzhǔ
顾客,顧客,名詞,gùkè
皇帝,皇帝,名詞,huángdì
皇后,皇后,名詞,huánghòu
经理,マネージャー、社長,名詞,jīnglǐ
客人,お客,名詞,kèrén
领导,指導者（上司）,名詞,lǐngdǎo
朋友,友だち,名詞,péngyou
师傅,先生・おじさん・おばさん（他人に対する一般的な尊称）、師匠・師父（技術などを持った人の尊称）,名詞,shīfu
太太,奥さん（既婚女性に対する尊称）,名詞,tàitai
同事,同僚,名詞,tóngshì
王子,王子,名詞,wángzǐ
先生,先生、…さん(成人男性に対する尊称),名詞,xiānsheng
小姐,お嬢さん、Miss,名詞,xiǎojiě
主人,ご主人,名詞,zhǔrén
主席,議長,名詞,zhǔxí
总统,大統領,名詞,zǒngtǒng
大夫,医者,名詞,dàifu
导演,演出者、監督,名詞,dǎoyǎn
服务员,ウェイター、ウェイトレス,名詞,fúwùyuán
歌手,歌手,名詞,gēshǒu
护士,看護師,名詞,hùshi
记者,記者,名詞,jìzhě
教授,教授,名詞,jiàoshòu
警察,警察,名詞,jǐnghchá
老师,先生,名詞,lǎoshī
律师,弁護士,名詞,lǜshī
秘书,秘書,名詞,mìshū
售货员,店員、販売員,名詞,shòuhuòyuán
司机,運転手,名詞,sījī
学生,学生,名詞,xuésheng
演员,俳優、演技者,名詞,yǎnyuán
医生,医者,名詞,yīshēng
作者,作家,名詞,zuòzhě
办公室,事務室,名詞,bàngōngshì
博物馆,博物館,名詞,bówùguǎn
宾馆,旅館,名詞,bīnguǎn
餐厅,レストラン、（ご飯を食べる）お店,名詞,cāntīng
操场,運動場、グランド,名詞,cāochǎng
厕所,トイレ,名詞,cèsuǒ
超市,スーパーマーケット,名詞,chāoshì
车库,車庫,名詞,chēkù
厨房,厨房,名詞,chúfáng
电影院,映画館,名詞,diànyǐngyuàn
饭店,ホテル,名詞,fàndiàn
饭馆,レストラン、（ご飯を食べる）お店,名詞,fànguǎn
房间,部屋,名詞,fángjiān
工厂,工場,名詞,gōngchǎng
公司,会社,名詞,gōngsī
公寓,アパート,名詞,gōngyù
公园,公園,名詞,gōngyuán
广场,広場,名詞,uǎngchǎng
胡同,横町,名詞,hútòng
火车站,汽車駅,名詞,huǒchēzhàn
机场,空港,名詞,jǐchǎng
加油站,ガソリンスタンド,名詞,jiāyóuzhàn
教室,教室,名詞,jiàoshì
酒吧,居酒屋、バー,名詞,jiǔbā
客厅,居間,名詞,kètīng
市场,市場,名詞,shìchǎng
书店,本屋,名詞,shūdiàn
宿舍,寮,名詞,sùshè
图书馆,図書館,名詞,túshūguǎn
卫生间,トイレ,名詞,wèishēngjiān
卧室,寝室,名詞,wòshì
洗手间,お手洗い,名詞,xǐshǒujiān
学校,学校,名詞,xuéxiào
医院,病院,名詞,yīyuàn
银行,銀行,名詞,yínháng
邮局,郵便局,名詞,yóujú
包,かばん,名詞,bāo
衬衫,シャツ,名詞,chènshān
大衣,オーバーコート,名詞,dàyī
裤子,ズボン,名詞,kùzi
毛衣,セーター,名詞,máoyī
帽子,帽子,名詞,màozi
牛仔裤,ジーンズ,名詞,niúzǎikù
皮鞋,革靴,名詞,píxié
钱包,財布,名詞,qiánbāo
裙子,スカート,名詞,qúnzi
伞,傘,名詞,sǎn
手表,腕時計,名詞,shǒubiǎo
手套,手袋,名詞,shǒutào
书包,ランドセル、リュック,名詞,shūbāo
袜子,靴下,名詞,wàzi
外衣,ジャケット、コート,名詞,wàiyī
围巾,マフラー,名詞,wéijīn
项链,ネックレス,名詞,xiàngliàn
鞋,靴,名詞,xié
眼镜,メガネ,名詞,yǎnjìng
背,背中,名詞,bèi
鼻子,鼻,名詞,bízi
脖子,首,名詞,bózi
肚子,お腹,名詞,dùzi
耳朵,耳,名詞,ěrduo
骨头,骨,名詞,gǔtou
肌肉,筋肉,名詞,jīròu
肩膀,肩,名詞,jiānbǎng
脚,足（くるぶしからつま先部分の）,名詞,jiǎo
口,口,名詞,kǒu
脸,顔,名詞,liǎn
眉毛,眉,名詞,méimao
脑袋,頭,名詞,nǎodai
皮肤,皮膚,名詞,pífū
嗓子,のど,名詞,sǎngzi
手指,指,名詞,shǒuzhǐ
腿,足（くるぶしから上の部分）,名詞,tuǐ
头发,髪,名詞,tóufa
眼睛,目,名詞,yǎnjing
腰,腰,名詞,yāo
嘴,口,名詞,zuǐ
上,上,名詞,shàng
下,下,名詞,xià
前边,前,名詞,qiánbian
后边,後ろ,名詞,hòubian
右边,右,名詞,yòubian
左边,左,名詞,zuǒbian
东,東,名詞,dōng
西,西,名詞,xī
南,南,名詞,nán
北,北,名詞,běi
内,中、内,名詞,nèi
外,外,名詞,wài
里,中,名詞,lǐ
对面,向こう,名詞,duìmiàn
旁边,隣,名詞,pángbiān
出租车,タクシー,名詞,chūzūchē
船,船,名詞,chuán
地铁,地下鉄,名詞,dìtiě
飞机,飛行機,名詞,fēijī
公共汽车,バス,名詞,gōnggòngqìchē
火车,汽車,名詞,huǒchē
摩托车,バイク,名詞,mótuōchē
自行车,自転車,名詞,zìxíngchē
茶,お茶,名詞,chá
果汁,ジュース,名詞,guǒzhī
咖啡,コーヒー,名詞,kāfēi
可乐,コーラー,名詞,kělè
矿泉水,ミネラルウォーター,名詞,kuàngquánshuǐ
牛奶,牛乳,名詞,niúnǎi
啤酒,ビール,名詞,píjiǔ
水,水,名詞,shuǐ
包子,中華まん,名詞,bāozi
饼干,ビスケット,名詞,bǐnggān
蛋糕,ケーキ,名詞,dàngāo
豆腐,豆腐,名詞,dòufu
花生,ピーナッツ,名詞,huāshēng
鸡蛋,卵,名詞,jīdàn
饺子,餃子（野菜や肉などを入れて包んだもの）,名詞,jiǎozi
桔子,みかん,名詞,júzi
烤鸭,鴨焼き,名詞,kǎoyā
辣椒,唐辛子,名詞,làjiāo
梨,梨,名詞,lí
馒头,饅頭、（具が入ってない）蒸しパン,名詞,mántou
米饭,ご飯,名詞,mǐfàn
面包,パン,名詞,miànbāo
面条,麺,名詞,miàntiáo
苹果,リンゴ,名詞,píngguǒ
葡萄,ブドウ,名詞,pútao
巧克力,チョコレート,名詞,qiǎokèlì
土豆,ジャガイモ,名詞,tǔdòu
西瓜,スイカ,名詞,xīguā
香蕉,バナナ,名詞,xiāngjiāo
杯子,コップ,名詞,bēizi
本子,ノート,名詞,běnzi
笔盒,ペンケース,名詞,bǐhé
词典,辞書,名詞,cídiǎn
尺子,定規,名詞,chǐzi
刀,刀,名詞,dāo
肥皂,石鹸,名詞,féizào
剪刀,ハサミ,名詞,jiǎndāo
镜子,鏡,名詞,jìngzǐ
筷子,箸,名詞,kuàizi
垃圾桶,ゴミ箱,名詞,lājītǒng
毛巾,タオル,名詞,máojīn
铅笔,鉛筆,名詞,qiānbǐ
书,本,名詞,shū
碗,茶碗,名詞,wǎn
橡皮,消しゴム,名詞,xiàngpí
牙膏,歯磨き,名詞,yágāo
钥匙,鍵,名詞,yàoshi
圆珠笔,ボールペン,名詞,yuánzhūbǐ
笔记本（电脑）,ノートパソコン,名詞,bǐjìběn
冰箱,冷蔵庫,名詞,bīngxiāng
抽屉,引き出し,名詞,chōuti
传真,ファックス,名詞,chuánzhēn
床,ベッド,名詞,chuáng
电话,電話,名詞,diànhuà
电脑,パソコン,名詞,diànnǎo
电视,テレビ,名詞,diànshì
空调,クーラー,名詞,kōngtiáo
沙发,ソファー,名詞,shāfā
手机,携帯電話,名詞,shǒujī
书架,本棚,名詞,shūià
洗衣机,洗濯機,名詞,xǐyījī
椅子,椅子,名詞,yǐzi
照相机,カメラ,名詞,zhàoxiàngjī
桌子,机,名詞,zhuōzi
大象,ゾウ,名詞,dàxiàng
鸽子,ハト,名詞,gēzi
狗,犬,名詞,gǒu
猴子,猿,名詞,hóuzi
蝴蝶,蝶,名詞,húdié
老虎,虎,名詞,lǎohǔ
老鼠,ネズミ,名詞,lǎoshǔ
马,馬,名詞,mǎ
猫,ネコ,名詞,māo
蜜蜂,蜂,名詞,mìfēng
鸟,鳥,名詞,niǎo
蛇,蛇,名詞,shé
狮子,ライオン,名詞,shīzi
兔子,ウサギ,名詞,tùzi
熊猫,パンダ,名詞,xióngmāo
鱼,魚,名詞,yú
猪,豚,名詞,zhū
草,草,名詞,cǎo
菊花,菊,名詞,júhuā
喇叭花,朝顔,名詞,lǎbahuā
兰花,蘭,名詞,lánhuā
玫瑰,バラの花,名詞,méigui
树,樹,名詞,shù
向日葵,ヒマワリ,名詞,xiàngrìkuí
叶子,葉,名詞,yèzi
郁金香,チューリップ,名詞,yùjīnxiāng
竹子,竹,名詞,zhúzi
唱歌,歌を歌う,動詞,chànggē
打篮球,バスケットボールをする,動詞,dǎlánqiú
钓鱼,釣りをする,動詞,diàoyú
滑冰,スケートをする,動詞,huábīng
画画,絵を描く,動詞,huàhuà
旅游,旅行する・観光する,動詞,lǚyóu
爬山,山を登る,動詞,páshān
跑步,走る,動詞,pǎobù
乒乓球,卓球,動詞,pīngpāngqiú
散步,散歩をする,動詞,sànbù
书法,書道,動詞,shūfǎ
太极拳,太極拳,動詞,tàijíquán
踢足球,サッカーボールをする,動詞,tīzúqiú
跳舞,踊る,動詞,tiàowǔ
网球,テニス,動詞,wǎngqiú
下棋,囲碁を打つ,動詞,xiàqí
游泳,水泳をする,動詞,yóuyǒng
羽毛球,バドミントン,動詞,yǔmáoqiú
运动,運動をする,動詞,yùndòng
北京,北京,固有名詞,Běijīng
重庆,重慶,固有名詞,Chóngqìng
东京,東京,固有名詞,Dōngjīng
俄国,ロシア,固有名詞,Éguó
法国,フランス,固有名詞,Fǎguó
广州,広州,固有名詞,Guǎngzhōu
哈尔滨,ハルビン,固有名詞,Hā'ěrbīn
韩国,韓国,固有名詞,Hánguó
拉萨,ラサ,固有名詞,Lāsà
美国,アメリカ,固有名詞,Měiguó
南京,南京,固有名詞,Nánjīng
青岛,青島,固有名詞,Qīngdǎo
日本,日本,固有名詞,Rìběn
上海,上海,固有名詞,Shànghǎi
首尔,ソウル,固有名詞,Shǒu'ěr
天津,天津,固有名詞,Tiānjīn
西安,西安,固有名詞,Xī'ān
香港,香港,固有名詞,Xiānggǎng
意大利,イタリア,固有名詞,Yìdàlì
英国,イギリス,固有名詞,Yīngguó
中国,中国,固有名詞,Zhōngguó
担心,心配する,動詞,dānxīn
烦恼,悩む,動詞,fánnǎo
高兴,楽しい、うれしい,動詞,gāoxìng
害怕,怖がる、恐れる,動詞,hàipà
后悔,後悔する,動詞,hòuhuǐ
紧张,緊張する,動詞,jǐnzhāng
开心,楽しい、愉快だ,動詞,kāixīn
可怜,かわいそうな、哀れだ,動詞,kělián
可惜,惜しい、もったいない、残念だ,動詞,kěxī
快乐,愉快だ、楽しい,動詞,kuàilè
难过,苦しい、悲しい,動詞,nánguò
难受,苦しい、我慢できない,動詞,nánshòu
伤心,悲しい,動詞,shāngxīn
生气,怒る,動詞,shēngqì
失望,失望する、落ち込む,動詞,shīwàng
讨厌,憎む、嫌う,動詞,tǎoyàn
兴奋,興奮する、感激する,動詞,xīngfèn
遗憾,残念だ,動詞,yíhàn
愉快,愉快だ、楽しい,動詞,yúkuài
着急,焦る、心配だ,動詞,zháojí
羡慕,羨ましい、欲しがる,動詞,xiànmù
乘,乗る,動詞,chéng
工作,働く,動詞,gōngzuò
加班,残業する,動詞,jiābān
见面,会う,動詞,jiànmiàn
结婚,結婚する,動詞,jiéhūn
考试,試験を受ける,動詞,kǎoshì
离开,離れる,動詞,líkāi
恋爱,恋愛する、付き合う,動詞,liàn'ài
起床,起きる,動詞,qǐchuáng
请客,お客さんを招待する、おごる,動詞,qǐngkè
上班,出勤する、勤務する,動詞,shàngbān
生病,病をわずらう,動詞,shēngbìng
刷牙,歯を磨く,動詞,shuāyá
睡觉,寝る,動詞,shuìjiào
问候,挨拶する、安否を聞く,動詞,wènhou
洗澡,お風呂に入る、シャワーを浴びる,動詞,xǐzǎo
休息,休む、休憩する,動詞,xiūxi
学习,習う、勉強する,動詞,xuéxí
暗,暗い,形容詞,àn
饱,満腹だ,形容詞,bǎo
充分,十分だ,形容詞,chōngfèn
聪明,賢い,形容詞,cōngming
独特,独特だ,形容詞,dútè
饿,お腹すいた,形容詞,è
方便,便利だ,形容詞,fāngbiàn
丰富,豊富だ,形容詞,fēngfù
富,お金持ちだ,形容詞,fù
干净,きれいだ,形容詞,gānjìng
干燥,乾燥している,形容詞,gānzào
豪华,豪華だ、贅沢だ,形容詞,háohuá
好奇,好奇心が強い,形容詞,hàoqí
合适,適切だ、合ってる,形容詞,héshì
活泼,活発だ、活気溢れる,形容詞,huópō
简单,簡単だ、単純だ,形容詞,jiǎndān
结实,丈夫だ、頑丈だ,形容詞,jiēshí
紧,きつい、忙しい（時間的な意味できつい感じ）,形容詞,jǐn
旧,古い、過去の、昔の、前の,形容詞,jiù
渴,のどが乾いた,形容詞,kě
可爱,かわいい,形容詞,kě'ài
宽,広い（幅・面積・範囲が）,形容詞,kuān
困,眠い,形容詞,kùn
困难,難しい、困る,形容詞,kùnnan
老,歳をとっている,形容詞,lǎo
老实,誠実だ、正直だ、まじめだ,形容詞,lǎoshi
累,疲れた,形容詞,lèi
厉害,すごい,形容詞,lìhai
亮,明るい,形容詞,liàng
凉快,涼しい,形容詞,liángkuai
流利,流暢だ,形容詞,liúlì
麻烦,めんどくさい、厄介だ,形容詞,máfan
马虎,適当だ、無責任だ,形容詞,mǎhu
满,いっぱいだ,形容詞,mǎn
明确,はっきり、明確だ,形容詞,míngquè
年轻,若い,形容詞,niánqīng
暖和,暖かい,形容詞,nuǎnhuo
胖,太ってる,形容詞,pàng
漂亮,綺麗だ、美しい,形容詞,piàoliang
亲切,親切だ,形容詞,qīnqiè
青,青い,形容詞,qīng
清楚,明白だ、はっきりしている、明らかだ,形容詞,qīngchǔ
轻松,リラックスした、すっきりした（仕事や何かが終わって）,形容詞,qīngsōng
热闹,賑やか,形容詞,rènào
热情,情熱的だ、親切だ,形容詞,rèqíng
容易,やさしい、容易だ,形容詞,róngyì
软,柔らかい,形容詞,ruǎn
善良,善良だ．正直だ,形容詞,shànliáng
深,深い,形容詞,shēn
时髦,流行っている、現代的だ,形容詞,shímáo
帅,かっこいい,形容詞,shuài
瘦,痩せている,形容詞,shòu
顺利,順調だ,形容詞,shùnlì
随便,自由だ、勝手だ,形容詞,suíbiàn
所有,全て,形容詞,suǒyǒu
特别,特別だ,形容詞,tèbié
疼,痛い,形容詞,téng
突然,突然だ、急な,形容詞,tūrán
危险,危ない,形容詞,wēixiǎn
温柔,優しい,形容詞,wēnróu
香,香りがいい,形容詞,xiāng
新鲜,新鮮だ,形容詞,xīnxian
严重,深刻だ、重大だ、厳重だ,形容詞,yánzhòng
一般,一般的、普通だ,形容詞,yìbān
阴,曇り,形容詞,yīn
勇敢,勇敢だ,形容詞,yǒnggǎn
友好,友好的,形容詞,yǒuhǎo
有名,有名だ,形容詞,yǒumíng
有利,有利だ,形容詞,yǒulì
脏,汚い、汚らわしい,形容詞,zàng
重要,重要だ,形容詞,zhòngyào
